iter	Passed	Remaining
0	1	330
1	2	337
2	3	337
3	4	326
4	5	319
5	6	317
6	9	380
7	10	372
8	11	362
9	12	356
10	13	351
11	14	350
12	15	347
13	16	343
14	17	339
15	18	335
16	19	330
17	20	325
18	21	322
19	24	341
20	25	339
21	26	335
22	27	333
23	28	329
24	29	326
25	30	323
26	31	320
27	32	317
28	33	315
29	34	313
30	35	312
31	37	310
32	39	316
33	40	317
34	41	315
35	42	313
36	43	310
37	44	308
38	45	306
39	46	304
40	49	314
41	50	312
42	51	309
43	52	307
44	55	315
45	56	313
46	57	311
47	58	309
48	59	306
49	60	303
50	61	301
51	62	298
52	63	296
53	64	294
54	65	292
55	66	289
56	67	287
57	68	285
58	71	290
59	72	289
60	73	287
61	74	285
62	75	282
63	76	280
64	77	278
65	78	276
66	78	274
67	79	272
68	80	270
69	81	268
70	82	266
71	83	265
72	84	263
73	87	265
74	88	264
75	89	262
76	89	260
77	90	258
78	91	257
79	92	255
80	93	254
81	94	252
82	95	250
83	96	248
84	97	247
85	98	245
86	99	244
87	102	247
88	103	246
89	104	244
90	105	243
91	106	241
92	107	240
93	108	238
94	109	237
95	110	235
96	111	234
97	112	232
98	113	231
99	114	229
100	115	228
101	118	230
102	119	229
103	120	227
104	121	226
105	124	227
106	125	226
107	126	225
108	127	223
109	128	222
110	129	220
111	130	219
112	131	217
113	134	219
114	135	217
115	136	216
116	137	214
117	138	213
118	140	213
119	141	211
120	142	210
121	143	209
122	144	207
123	145	206
124	146	204
125	147	203
126	148	202
127	149	201
128	150	199
129	151	198
130	152	196
131	153	195
132	154	194
133	155	192
134	156	191
135	157	189
136	158	188
137	159	187
138	160	185
139	161	184
140	162	183
141	163	182
142	164	180
143	165	179
144	166	178
145	167	176
146	168	175
147	169	173
148	170	172
149	171	171
150	172	169
151	173	168
152	174	167
153	175	165
154	177	166
155	178	165
156	180	164
157	181	162
158	182	161
159	183	160
160	184	159
161	185	157
162	186	156
163	187	155
164	187	153
165	188	152
166	189	151
167	190	149
168	193	150
169	194	149
170	195	147
171	196	146
172	197	145
173	198	143
174	199	142
175	200	141
176	201	140
177	202	138
178	203	137
179	204	136
180	205	134
181	206	133
182	208	133
183	210	132
184	211	131
185	212	130
186	213	128
187	214	127
188	215	126
189	216	125
190	217	124
191	218	123
192	219	121
193	220	120
194	221	119
195	223	118
196	224	117
197	225	116
198	226	115
199	227	113
200	228	112
201	229	111
202	230	110
203	231	109
204	232	107
205	233	106
206	234	105
207	235	104
208	236	102
209	237	101
210	240	101
211	241	100
212	242	98
213	243	97
214	244	96
215	245	95
216	245	94
217	246	92
218	247	91
219	248	90
220	249	89
221	250	88
222	251	86
223	252	85
224	253	84
225	256	83
226	257	82
227	258	81
228	259	80
229	260	79
230	261	78
231	262	76
232	263	75
233	264	74
234	265	73
235	266	72
236	267	71
237	268	69
238	269	68
239	271	67
240	272	66
241	273	65
242	274	64
243	275	63
244	276	62
245	277	60
246	278	59
247	279	58
248	280	57
249	281	56
250	281	55
251	282	53
252	283	52
253	284	51
254	287	50
255	289	49
256	289	48
257	290	47
258	291	46
259	292	45
260	293	43
261	294	42
262	295	41
263	296	40
264	297	39
265	298	38
266	299	36
267	300	35
268	302	34
269	303	33
270	304	32
271	305	31
272	306	30
273	307	29
274	308	28
275	309	26
276	310	25
277	311	24
278	312	23
279	313	22
280	314	21
281	315	20
282	317	19
283	318	17
284	319	16
285	320	15
286	321	14
287	322	13
288	323	12
289	324	11
290	325	10
291	326	8
292	327	7
293	328	6
294	329	5
295	330	4
296	331	3
297	334	2
298	335	1
299	336	0
