dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.017595	0.41129	0.62712	0.50198	0.77283	0.66248	0.48739	0.50519	0.58228	0.61995	0.73959	0.39737	0.020384	0.023107	0.019808	0.023599	0.028238	0.77283	0.6343	0.3552	-0.2791	0.095285	0.63943	0.65028	0.65877	0.66091	0.62931	0.25208	0.058154	0.30098	0.81172	0.88735	0.073854	0.30859	0.24409	0.37679	0.27172	0.18014	0.24344	0.27938	0.21532	0.16572	0.074248	0.0020716	0.011289	0.0016319	0.0058279	0.0012663	0.036143	0.31329	0.091718	0.24323	0.083795	0.10005	0.11371	0.1106	0.13013	0.13304	0.12443	0.12973	0.11723	0.073855	0.088693	-0.092038	0.10608	-0.089378	-0.1381	0.090574	0.19539	0.020559	0.10521	0.32231	-0.0081078	-0.042367	-0.017194	0.05357	1.5003	1176
0.01781	0.3984	0.56682	0.4893	0.76032	0.6601	0.48519	0.50433	0.58116	0.6188	0.73865	0.39603	0.019615	0.021767	0.017982	0.024343	0.025621	0.76032	0.48053	0.22206	-0.25848	0.093282	0.48648	0.49894	0.50968	0.5154	0.49532	0.30208	0.11304	0.64989	0.53535	0.51821	0.073695	0.076999	0.099901	0.15204	0.11596	0.11205	0.19975	0.17781	0.29487	0.34973	0.18849	0.0073601	0.0016843	0.0097819	0.0029425	0.0039593	0.081196	0.2488	0.075529	0.1939	0.11879	0.094769	0.13336	0.091817	-0.0092212	0.075578	0.1304	0.11452	0.13826	0.14142	0.13975	0.13145	-0.063735	-0.14075	-0.14102	0.11962	0.072368	0.031796	0.37366	0.30135	-0.034017	-0.02734	0.10484	0.060723	1.6518	667.5
0.023255	0.53296	0.44985	0.38193	0.39272	0.38181	0.36193	0.38226	0.29722	0.2209	0.17174	0.21899	0.012799	0.0098684	0.010845	0.011514	0.0097205	0.53296	0.39385	0.27627	-0.11759	0.062739	0.43159	0.51824	0.61792	0.72164	0.7979	0.30417	0.13772	0.78102	0.77082	0.88342	0.2932	0.2545	0.23092	0.17014	0.18049	0.19427	0.19887	0.15566	0.095457	0.050493	0.10423	0.0010357	0.0018893	0.00062419	0.0013578	0.00305	0.046314	0.25631	0.24013	0.23399	-0.12449	-0.13823	-0.05867	-0.017009	0.055279	0.017151	0.043814	0.037869	0.05883	0.068059	0.13979	-0.11674	-0.022816	0.01143	-0.11672	0.14003	0.1545	-0.0034913	0.23367	0.22156	-0.037602	-0.053583	0.0090281	-0.0049491	1.6609	667
0.013424	0.15008	0.24194	0.33183	0.42111	0.27286	0.33869	0.38993	0.29506	0.21818	0.1537	0.162	0.021184	0.013455	0.013668	0.0096411	0.016553	0.42111	0.15645	0.08078	-0.075667	0.069066	0.16818	0.19438	0.22328	0.25203	0.27113	0.71354	0.12401	0.66858	0.73496	0.74455	0.045088	0.044318	0.011415	0.041101	0.087526	0.077233	0.084819	0.096304	0.075555	0.054919	0.068275	0.0079367	0.0014613	0.0030207	0.0036132	0.00093328	0.22441	0.202	0.21128	0.21498	-0.0445	-0.073921	-0.11874	0.059309	0.13832	0.10955	0.14139	0.1221	0.13353	0.14053	0.10598	0.12764	-0.088738	-0.13788	0.1373	0.061555	0.34326	0.097709	0.32346	0.25408	0.079511	-0.003644	0.07245	0.041512	1.7813	388.5
0.010556	0.69094	0.43334	0.19138	0.18143	0.13232	0.23811	0.72328	0.94412	0.82216	0.4792	0.9074	0.034685	0.032167	0.024111	0.020638	0.036258	0.94412	0.071215	0.029425	-0.04179	0.053228	0.080642	0.10336	0.13132	0.16232	0.18578	0.77396	0.039324	0.12703	0.10873	0.13431	0.19641	0.045397	0.012883	0.0094626	0.010468	0.0045768	0.013025	0.020787	0.019736	0.010386	0.01753	0.016539	0.015308	0.0015979	0.0074728	0.00078316	0.085878	0.16665	0.052017	0.11299	0.10963	-0.045588	-0.12802	0.13244	-0.0025478	0.1376	0.10994	0.13644	0.09075	0.083186	0.14136	0.1374	0.13995	-0.074304	-0.11969	-0.0093574	0.43386	0.57989	0.45774	0.75395	0.1229	0.24851	0.13693	0.54049	0.89093	254.5
0.019741	0.2283	0.3592	0.55647	0.73763	0.73782	0.47791	0.5509	0.49187	0.46712	0.2888	0.47078	0.034751	0.018728	0.018132	0.018061	0.015622	0.73782	0.27873	0.18457	-0.09416	0.06273	0.30544	0.36679	0.43736	0.5108	0.5648	0.38958	0.076524	0.41099	0.84015	0.82498	0.050462	0.091479	0.12241	0.1924	0.14944	0.080444	0.17872	0.23825	0.20014	0.11739	0.22877	0.0078092	0.0024207	0.0068172	0.0040126	0.002451	0.030213	0.19851	0.13759	0.1621	-0.033886	0.035886	0.048084	0.12581	0.11162	-0.12527	-0.0091921	0.0551	0.067829	0.070342	0.11441	0.045933	-0.13989	0.080628	-0.091863	0.070215	0.45774	0.1585	0.054987	0.25746	0.13693	-0.027894	-0.032442	0.022391	1.7282	1583.5
0.020128	0.72656	0.54475	0.49607	0.6623	0.67079	0.43705	0.50885	0.45411	0.43038	0.262	0.43639	0.032349	0.017182	0.016841	0.016825	0.014376	0.72656	0.54669	0.29637	-0.25032	0.091855	0.55517	0.57288	0.58876	0.5988	0.57928	0.18646	0.11356	0.88923	1.1216	1.1292	0.092564	0.080853	0.22962	0.32511	0.31972	0.20985	0.24191	0.21648	0.19653	0.11617	0.13677	0.0072229	0.0013334	0.0039527	0.00046661	0.0011361	0.054971	0.29688	0.12648	0.22886	-0.03883	-0.084267	0.12348	0.088112	0.1039	0.12883	0.14124	0.13777	0.14019	0.14042	0.12101	0.141	-0.028318	0.13714	0.13867	-0.1382	-0.037372	0.028993	0.13157	0.29246	-0.049558	-0.039715	-0.036077	0.045749	1.5904	2437.5
0.012363	0.12509	0.22534	0.082468	0.10322	0.38361	0.80698	0.84293	0.7863	0.67142	0.34627	0.40237	0.024874	0.044555	0.038851	0.032271	0.028665	0.84293	0.45857	0.25917	-0.1994	0.053599	0.51855	0.66283	0.83989	1.0357	1.1841	0.27917	0.10285	0.44882	0.26566	0.28875	0.019371	0.039394	0.040917	0.037707	0.10258	0.28972	0.26793	0.33559	0.32086	0.16546	0.15664	0.0083085	0.010646	0.0024318	0.014063	0.0010139	0.029581	0.27302	0.069656	0.19726	-0.002927	-0.053728	0.090955	0.10802	0.10134	0.1025	0.088342	0.11384	0.12911	0.13483	0.13407	0.057154	0.017514	0.13986	0.13853	0.018441	0.34981	0.15458	0.10991	0.44351	0.070606	-0.032651	-0.045062	0.13333	1.3265	458
0.012894	0.11686	0.27371	0.078939	0.10189	0.38275	0.80598	0.84268	0.78743	0.6711	0.34569	0.4014	0.023239	0.044272	0.038304	0.032324	0.027908	0.84268	0.47475	0.23769	-0.23706	0.063881	0.51837	0.618	0.73173	0.84914	0.9344	0.21042	0.17697	0.47404	0.34464	0.31573	0.024773	0.050686	0.02151	0.048574	0.18195	0.38311	0.40062	0.3524	0.19417	0.085681	0.062301	0.0065798	0.008329	0.0025792	0.0067706	0.010066	0.038199	0.32108	0.059491	0.21992	-0.078169	-0.10826	0.10374	0.1377	0.14133	0.14141	0.14122	0.14	0.13212	0.12804	0.093435	0.11896	0.025005	0.03911	-0.14007	0.13696	0.073818	0.22392	0.25726	0.54944	-0.047047	-0.0090643	0.025346	0.22472	1.1289	535
0.013984	0.16167	0.42512	0.32474	0.46989	0.26391	0.3471	0.30028	0.36485	0.52967	0.46256	0.33458	0.013257	0.019809	0.016807	0.018314	0.017585	0.52967	0.21754	0.12075	-0.096798	0.05869	0.24158	0.29788	0.36446	0.43565	0.48946	0.56354	0.21527	0.52732	0.7082	0.75452	0.064514	0.062229	0.10175	0.049558	0.027358	0.030082	0.035664	0.17549	0.25331	0.22117	0.039913	0.0012221	0.0017965	0.0019675	0.0015972	0.0037715	0.22294	0.27155	0.21953	0.24417	-0.13869	0.13817	-0.036334	0.11467	-0.13187	-0.01076	0.084278	0.1072	0.13377	0.13403	0.14142	-0.0896	0.10237	-0.034605	0.12971	-0.13937	0.48671	0.17911	0.29266	0.29829	0.1685	-0.013406	0.028821	0.037124	1.5773	623
0.018597	0.27875	0.21689	0.18026	0.24312	0.35508	0.28919	0.29605	0.29153	0.32511	0.29436	0.28662	0.022568	0.015687	0.026453	0.016826	0.027177	0.35508	0.14504	0.06421	-0.080832	0.094205	0.14655	0.14971	0.15235	0.15349	0.14688	0.80104	0.19353	0.77183	0.81523	0.82818	0.087683	0.036408	0.061122	0.04909	0.071955	0.058258	0.033292	0.063346	0.10676	0.10239	0.02245	0.0020435	0.0040928	0.0034591	0.0001227	0.0058268	0.22653	0.26649	0.21596	0.23946	0.0040109	-0.14083	0.018154	0.039482	0.061008	-0.10459	-0.10976	0.13519	0.13925	0.14111	0.070912	-0.046979	-0.01119	0.011198	-0.1362	0.12608	-0.038838	-0.01191	0.039895	0.0080446	-0.04763	-0.039585	-0.023141	-0.035691	1.8921	446
